[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 17.253.18.251:443 -> 192.168.1.5:55890
[2025-07-22 13:17:00] UDP | 192.168.1.5:55890 -> 17.253.18.251:443
[2025-07-22 13:17:04] OTHER | N/A:N/A -> N/A:N/A
[2025-07-22 13:17:08] TCP | 192.168.1.5:52408 -> 148.113.9.58:443
[2025-07-22 13:17:08] TCP | 148.113.9.58:443 -> 192.168.1.5:52408
[2025-07-22 13:17:09] TCP | 148.113.9.58:443 -> 192.168.1.5:52408
[2025-07-22 13:17:09] TCP | 192.168.1.5:52408 -> 148.113.9.58:443
[2025-07-22 13:17:12] TCP | 192.168.1.5:52407 -> 104.199.241.202:4070
[2025-07-22 13:17:13] TCP | 104.199.241.202:4070 -> 192.168.1.5:52407
[2025-07-22 13:17:13] TCP | 192.168.1.5:52407 -> 104.199.241.202:4070
[2025-07-22 13:17:13] TCP | 192.168.1.5:64054 -> 35.186.224.40:443
[2025-07-22 13:17:13] TCP | 35.186.224.40:443 -> 192.168.1.5:64054
[2025-07-22 13:17:13] TCP | 35.186.224.40:443 -> 192.168.1.5:64054
[2025-07-22 13:33:29] UDP Packet: 192.168.1.5:52665 -> 172.224.19.17:443
[2025-07-22 13:33:29] UDP Packet: 172.224.19.17:443 -> 192.168.1.5:52665
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:60129 -> 17.253.18.229:443
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:60129 -> 17.253.18.229:443
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 17.253.18.229:443 -> 192.168.1.5:60129
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:60129 -> 17.253.18.229:443
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 17.253.18.231:443 -> 192.168.1.5:64345
[2025-07-22 13:33:30] UDP Packet: 192.168.1.5:64345 -> 17.253.18.231:443
